t,S,I,R,I_obs,Rt
737822,5.600000e+07,1.000000e+00,0.000000e+00,2.000000e+00,2.999096
737823,5.600000e+07,1.491561e+00,2.458971e-01,1.000000e+00,2.999012
737824,5.600000e+07,2.224673e+00,6.126444e-01,2.000000e+00,2.998901
737825,5.600000e+07,3.318304e+00,1.159787e+00,4.000000e+00,2.998708
737826,5.599999e+07,4.948500e+00,1.975481e+00,6.000000e+00,2.998346
737827,5.599999e+07,7.379735e+00,3.192303e+00,2.000000e+00,2.997691
737828,5.599998e+07,1.100366e+01,5.006860e+00,6.000000e+00,2.996585
737829,5.599998e+07,1.639984e+01,7.710726e+00,8.000000e+00,2.994835
737830,5.599996e+07,2.443904e+01,1.174352e+01,1.900000e+01,2.992214
737831,5.599995e+07,3.638381e+01,1.774484e+01,3.800000e+01,2.988463
737832,5.599992e+07,5.412611e+01,2.667923e+01,5.200000e+01,2.983289
737833,5.599988e+07,8.043870e+01,3.997110e+01,5.800000e+01,2.976373
737834,5.599982e+07,1.193075e+02,5.968266e+01,8.800000e+01,2.967364
737835,5.599973e+07,1.766406e+02,8.891248e+01,1.800000e+02,2.955892
737836,5.599961e+07,2.608750e+02,1.321488e+02,2.590000e+02,2.941565
737837,5.599942e+07,3.839377e+02,1.958230e+02,3.620000e+02,2.923980
737838,5.599915e+07,5.629889e+02,2.894228e+02,5.300000e+02,2.902727
737839,5.599875e+07,8.217263e+02,4.263802e+02,8.540000e+02,2.877399
737840,5.599818e+07,1.192580e+03,6.255279e+02,1.141000e+03,2.847599
737841,5.599737e+07,1.719900e+03,9.137586e+02,1.666000e+03,2.812955
737842,5.599621e+07,2.461940e+03,1.327926e+03,2.475000e+03,2.773128
737843,5.599459e+07,3.494129e+03,1.917831e+03,3.542000e+03,2.727827
737844,5.599234e+07,4.911529e+03,2.751068e+03,4.957000e+03,2.676821
737845,5.598925e+07,6.829417e+03,3.915978e+03,6.869000e+03,2.619956
737846,5.598509e+07,9.383830e+03,5.525557e+03,9.289000e+03,2.557161
737847,5.597955e+07,1.272411e+04,7.721723e+03,1.282700e+04,2.488465
737848,5.597232e+07,1.700619e+04,1.067766e+04,1.721900e+04,2.414005
737849,5.596302e+07,2.238108e+04,1.459778e+04,2.237000e+04,2.334032
737850,5.595132e+07,2.897157e+04,1.971263e+04,2.885300e+04,2.248915
737851,5.593688e+07,3.684493e+04,2.627138e+04,3.686700e+04,2.159140
737852,5.591946e+07,4.600300e+04,3.453407e+04,4.597800e+04,2.065305
737853,5.589890e+07,5.634291e+04,4.475262e+04,5.607000e+04,1.968110
737854,5.587521e+07,6.764988e+04,5.714071e+04,6.760600e+04,1.868344
737855,5.584855e+07,7.959851e+04,7.185532e+04,8.001200e+04,1.766863
737856,5.581924e+07,9.176533e+04,8.899390e+04,9.131700e+04,1.664571
737857,5.578781e+07,1.036374e+05,1.085477e+05,1.033150e+05,1.562392
737858,5.575496e+07,1.146481e+05,1.303905e+05,1.143620e+05,1.461247
737859,5.572140e+07,1.242983e+05,1.543053e+05,1.243380e+05,1.362025
737860,5.568785e+07,1.321621e+05,1.799847e+05,1.318110e+05,1.265560
737861,5.565508e+07,1.378861e+05,2.070319e+05,1.378900e+05,1.172608
737862,5.562381e+07,1.411789e+05,2.350158e+05,1.412440e+05,1.083833
737863,5.559451e+07,1.420646e+05,2.634304e+05,1.411740e+05,0.999787
737864,5.556751e+07,1.407173e+05,2.917739e+05,1.404880e+05,0.920910
737865,5.554304e+07,1.373530e+05,3.196094e+05,1.370060e+05,0.847524
737866,5.552121e+07,1.322290e+05,3.465654e+05,1.326600e+05,0.779838
737867,5.550202e+07,1.256446e+05,3.723354e+05,1.256880e+05,0.717957
737868,5.548538e+07,1.179406e+05,3.966780e+05,1.181230e+05,0.661891
737869,5.547108e+07,1.094992e+05,4.194171e+05,1.094270e+05,0.611575
737870,5.545883e+07,1.007319e+05,4.404361e+05,1.005930e+05,0.566881
737871,5.544841e+07,9.192323e+04,4.596716e+05,9.167500e+04,0.527640
737872,5.543956e+07,8.327549e+04,4.771635e+05,8.317500e+04,0.493661
737873,5.543206e+07,7.495950e+04,4.929769e+05,7.527200e+04,0.464742
737874,5.542570e+07,6.710820e+04,5.071901e+05,6.724900e+04,0.440698
737875,5.542029e+07,5.981671e+04,5.198953e+05,5.906200e+04,0.421367
737876,5.541566e+07,5.314230e+04,5.311983e+05,5.313000e+04,0.406632
737877,5.541168e+07,4.710441e+04,5.412184e+05,4.750300e+04,0.396435
737878,5.540822e+07,4.168880e+04,5.500898e+05,4.202100e+04,0.390791
737879,5.540518e+07,3.687360e+04,5.579472e+05,3.704400e+04,0.389801
737880,5.540248e+07,3.262102e+04,5.648994e+05,3.289100e+04,0.393675
737881,5.540006e+07,2.889141e+04,5.710486e+05,2.897000e+04,0.402741
737882,5.539786e+07,2.564562e+04,5.764928e+05,2.561900e+04,0.417469
737883,5.539583e+07,2.284500e+04,5.813258e+05,2.291000e+04,0.438488
737884,5.539391e+07,2.045138e+04,5.856368e+05,2.065900e+04,0.466601
737885,5.539206e+07,1.842710e+04,5.895107e+05,1.860500e+04,0.502800
737886,5.539024e+07,1.673863e+04,5.930218e+05,1.670100e+04,0.548266
737887,5.538842e+07,1.535913e+04,5.962257e+05,1.555100e+04,0.604355
737888,5.538655e+07,1.426519e+04,5.991817e+05,1.435900e+04,0.672548
737889,5.538461e+07,1.344457e+04,6.019471e+05,1.334000e+04,0.754359
737890,5.538253e+07,1.289633e+04,6.045780e+05,1.306500e+04,0.851180
737891,5.538024e+07,1.263090e+04,6.071281e+05,1.266600e+04,0.964035
737892,5.537767e+07,1.267677e+04,6.096555e+05,1.267900e+04,1.093244
737893,5.537470e+07,1.307316e+04,6.122237e+05,1.327200e+04,1.238001
737894,5.537121e+07,1.388060e+04,6.149045e+05,1.392100e+04,1.395881
737895,5.536699e+07,1.521530e+04,6.177981e+05,1.515600e+04,1.562372
737896,5.536172e+07,1.724973e+04,6.210339e+05,1.716700e+04,1.730545
737897,5.535502e+07,2.021264e+04,6.247706e+05,2.004900e+04,1.891022
737898,5.534647e+07,2.434191e+04,6.291895e+05,2.432000e+04,2.032409
737899,5.533533e+07,3.008524e+04,6.345892e+05,3.018100e+04,2.142307
737900,5.532061e+07,3.800477e+04,6.413856e+05,3.823300e+04,2.208883
737901,5.530160e+07,4.838655e+04,6.500160e+05,4.871600e+04,2.222773
737902,5.527783e+07,6.123285e+04,6.609367e+05,6.133100e+04,2.178945
737903,5.524911e+07,7.626210e+04,6.746238e+05,7.599200e+04,2.077998
737904,5.521562e+07,9.284500e+04,6.915393e+05,9.277400e+04,1.926484
737905,5.517906e+07,1.091613e+05,7.117769e+05,1.093570e+05,1.736048
737906,5.514193e+07,1.230523e+05,7.350191e+05,1.230220e+05,1.521557
737907,5.510645e+07,1.328853e+05,7.606622e+05,1.323640e+05,1.298702
737908,5.507462e+07,1.375643e+05,7.878176e+05,1.378240e+05,1.081675
737909,5.504807e+07,1.365929e+05,8.153363e+05,1.371520e+05,0.881484
737910,5.502721e+07,1.306532e+05,8.421331e+05,1.299650e+05,0.705160
737911,5.501163e+07,1.210228e+05,8.673506e+05,1.209010e+05,0.555846
