epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,0
0,1444.901611328125,2.5818092823028564,31.369054794311523,1398.479248046875,15.053065299987793,,45
,,,,,,0.0005,46
1,1030.5372314453125,0.41861167550086975,31.465347290039062,998.60888671875,0.46301841735839844,,91
,,,,,,0.0005,92
2,928.8858642578125,0.06788202375173569,31.471982955932617,897.3595581054688,0.0543113574385643,,137
,,,,,,0.0005,138
3,852.3809814453125,0.10781681537628174,31.473434448242188,820.8866577148438,0.020834127441048622,,183
,,,,,,0.0005,184
4,784.0255126953125,0.13543812930583954,31.474340438842773,752.535400390625,0.01580299623310566,,229
,,,,,,0.0005,230
5,720.8828735351562,0.15093989670276642,31.47511863708496,689.394775390625,0.013040643185377121,,275
,,,,,,0.0005,276
6,661.7952270507812,0.16322888433933258,31.475788116455078,630.30859375,0.01091116014868021,,321
,,,,,,0.0005,322
7,606.1776733398438,0.17407673597335815,31.476354598999023,574.692138671875,0.009232431650161743,,367
,,,,,,0.0005,368
8,553.690185546875,0.18389491736888885,31.476831436157227,522.20556640625,0.007903066463768482,,413
,,,,,,0.0005,414
9,504.1172790527344,0.19286809861660004,31.47722816467285,472.6330871582031,0.006844222079962492,,459
,,,,,,0.0005,460
10,457.31256103515625,0.2011086344718933,31.477561950683594,425.8289489746094,0.00599514739587903,,505
,,,,,,0.0005,506
11,413.1723327636719,0.20869438350200653,31.477840423583984,381.689208984375,0.005309837404638529,,551
,,,,,,0.0005,552
12,371.6202392578125,0.2156846821308136,31.47805404663086,340.1373596191406,0.004753766115754843,,597
,,,,,,0.0005,598
13,332.5978698730469,0.2221280038356781,31.478219985961914,301.11529541015625,0.004301144741475582,,643
,,,,,,0.0005,644
14,296.05999755859375,0.22806520760059357,31.478342056274414,264.5777587890625,0.003932846710085869,,689
,,,,,,0.0005,690
15,261.9707336425781,0.23353146016597748,31.478416442871094,230.4887237548828,0.003634886583313346,,735
,,,,,,0.0005,736
16,230.30087280273438,0.23855659365653992,31.47843360900879,198.81906127929688,0.003397431457415223,,781
,,,,,,0.0005,782
17,201.02658081054688,0.24316555261611938,31.4783992767334,169.54493713378906,0.0032142680138349533,,827
,,,,,,0.0005,828
18,174.1278533935547,0.24737809598445892,31.478290557861328,142.646484375,0.0030827666632831097,,873
,,,,,,0.0005,874
19,149.5881805419922,0.25120750069618225,31.478090286254883,118.10704040527344,0.003004540456458926,,919
,,,,,,0.0005,920
20,127.39320373535156,0.2546597123146057,31.477771759033203,95.91244506835938,0.00298743462190032,,965
,,,,,,0.0005,966
21,107.5309066772461,0.25772929191589355,31.477266311645508,76.05058288574219,0.0030504462774842978,,1011
,,,,,,0.0005,1012
22,89.99072265625,0.2603909373283386,31.476436614990234,58.51103210449219,0.003236830700188875,,1057
,,,,,,0.0005,1058
23,74.76339721679688,0.2625733017921448,31.475013732910156,43.284706115722656,0.003654841100797057,,1103
,,,,,,0.0005,1104
