epoch,loss,loss/beta,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,,0.0005,0
0,310485.90625,14.045917510986328,0.5258936285972595,310485.09375,0.3119893968105316,,,44
,,,,,,,0.0005,45
1,302483.375,17.161907196044922,0.47922906279563904,302482.84375,0.008326761424541473,,,89
,,,,,,,0.0005,90
2,299989.84375,18.392799377441406,0.4793817698955536,299989.34375,0.0026709369849413633,,,134
,,,,,,,0.0005,135
3,298021.875,19.082063674926758,0.47958502173423767,298021.375,0.001163828419521451,,,179
,,,,,,,0.0005,180
4,296187.5625,19.48598289489746,0.4797411561012268,296187.03125,0.0006181311327964067,,,224
,,,,,,,0.0005,225
5,294421.78125,19.740718841552734,0.4798543155193329,294421.375,0.0003747290465980768,,,269
,,,,,,,0.0005,270
6,292699.15625,19.907411575317383,0.47993776202201843,292698.6875,0.0002495246008038521,,,314
,,,,,,,0.0005,315
7,291006.78125,20.016799926757812,0.4800010323524475,291006.1875,0.00017829683201853186,,,359
,,,,,,,0.0005,360
8,289337.28125,20.086015701293945,0.4800501763820648,289336.84375,0.0001346674980595708,,,404
,,,,,,,0.0005,405
9,287686.125,20.12537384033203,0.480089396238327,287685.625,0.00010640489199431613,,,449
,,,,,,,0.0005,450
10,286050.0,20.141481399536133,0.48012131452560425,286049.5,8.728472312213853e-05,,,494
,,,,,,,0.0005,495
11,284426.90625,20.13880157470703,0.48014768958091736,284426.375,7.389963866444305e-05,,,539
,,,,,,,0.0005,540
12,282815.1875,20.120437622070312,0.4801698625087738,282814.71875,6.427092012017965e-05,,,584
,,,,,,,0.0005,585
13,281213.78125,20.088642120361328,0.4801885783672333,281213.3125,5.719221371691674e-05,,,629
,,,,,,,0.0005,630
14,279621.53125,20.04510498046875,0.48020464181900024,279621.09375,5.189768853597343e-05,,,674
,,,,,,,0.0005,675
15,278037.9375,19.991098403930664,0.48021847009658813,278037.4375,4.7883877414278686e-05,,,719
,,,,,,,0.0005,720
16,276462.28125,19.927602767944336,0.4802303612232208,276461.78125,4.4810116378357634e-05,,,764
,,,,,,,0.0005,765
17,274894.09375,19.855403900146484,0.4802408814430237,274893.625,4.243979128659703e-05,,,809
,,,,,,,0.0005,810
18,273333.03125,19.77513313293457,0.4802500605583191,273332.53125,4.060496939928271e-05,,,854
,,,,,,,0.0005,855
19,271778.6875,19.68727684020996,0.4802580177783966,271778.21875,3.9184011257020757e-05,,,899
,,,,,,,0.0005,900
20,270230.875,19.59226417541504,0.4802650809288025,270230.40625,3.80872588721104e-05,,,944
,,,,,,,0.0005,945
21,268689.375,19.49042320251465,0.4802713096141815,268688.90625,3.724775888258591e-05,,,989
,,,,,,,0.0005,990
22,267153.90625,19.382049560546875,0.4802767336368561,267153.4375,3.661470691440627e-05,,,1034
,,,,,,,0.0005,1035
23,265624.34375,19.26737403869629,0.4802815318107605,265623.84375,3.6149191146250814e-05,,,1079
,,,,,,,0.0005,1080
24,264100.53125,19.14658546447754,0.48028564453125,264100.03125,3.582100907806307e-05,,,1124
,,,,,,,0.0005,1125
25,262582.28125,19.019847869873047,0.4802892208099365,262581.8125,3.5606648452812806e-05,,,1169
,,,,,,,0.0005,1170
26,261069.546875,18.887290954589844,0.48029232025146484,261069.0625,3.5487551940605044e-05,,,1214
,,,,,,,0.0005,1215
27,259562.234375,18.74903106689453,0.4802949130535126,259561.671875,3.544911669450812e-05,,,1259
,,,,,,,0.0005,1260
28,258060.171875,18.60515022277832,0.4802970886230469,258059.71875,3.547972301021218e-05,,,1304
,,,,,,,0.0005,1305
29,256563.3125,18.455720901489258,0.48029881715774536,256562.796875,3.5570199543144554e-05,,,1349
,,,,,,,0.0005,1350
30,255071.609375,18.300783157348633,0.48030024766921997,255071.140625,3.571322304196656e-05,,,1394
,,,,,,,0.0005,1395
31,253585.015625,18.140380859375,0.4803012013435364,253584.46875,3.590312917367555e-05,,,1439
,,,,,,,0.0005,1440
32,252103.359375,17.974519729614258,0.48030176758766174,252102.890625,3.6135468690190464e-05,,,1484
,,,,,,,0.0005,1485
33,250626.734375,17.803207397460938,0.48030203580856323,250626.296875,3.640695285866968e-05,,,1529
,,,,,,,0.0005,1530
34,249155.046875,17.62642478942871,0.4803018569946289,249154.609375,3.671510421554558e-05,,,1574
,,,,,,,0.0005,1575
35,247688.140625,17.444143295288086,0.48030149936676025,247687.65625,3.70583547919523e-05,,,1619
,,,,,,,0.0005,1620
36,246226.0625,17.25632095336914,0.4803004562854767,246225.640625,3.743577690329403e-05,,,1664
,,,,,,,0.0005,1665
37,244768.859375,17.06287956237793,0.4802992641925812,244768.375,3.7847126804990694e-05,,,1709
,,,,,,,0.0005,1710
38,243316.34375,16.863740921020508,0.48029768466949463,243315.859375,3.829280103673227e-05,,,1754
,,,,,,,0.0005,1755
39,241868.546875,16.658817291259766,0.48029568791389465,241868.09375,3.8773705455241725e-05,,,1799
,,,,,,,0.0005,1800
40,240425.53125,16.447975158691406,0.4802931845188141,240425.109375,3.929138620151207e-05,,,1844
,,,,,,,0.0005,1845
41,238987.0625,16.2310733795166,0.48029035329818726,238986.640625,3.984801878686994e-05,,,1889
,,,,,,,0.0005,1890
