epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,0
0,158256.75,0.008523499593138695,3146.629638671875,155080.453125,29.691814422607422,,45
,,,,,,0.0005,46
1,153642.40625,0.007344897836446762,3148.043701171875,150492.859375,1.5098435878753662,,91
,,,,,,0.0005,92
2,152344.59375,0.006494125351309776,3148.208251953125,149195.734375,0.6395644545555115,,137
,,,,,,0.0005,138
3,151336.78125,0.0058784568682312965,3148.279296875,148188.171875,0.3499767780303955,,183
,,,,,,0.0005,184
4,150399.15625,0.005412544589489698,3148.31591796875,147250.59375,0.2257341742515564,,229
,,,,,,0.0005,230
5,149497.4375,0.005033175460994244,3148.337158203125,146348.9375,0.16226577758789062,,275
,,,,,,0.0005,276
6,148618.21875,0.004708978813141584,3148.350341796875,145469.75,0.1259806752204895,,321
,,,,,,0.0005,322
7,147754.828125,0.00442268094047904,3148.357666015625,144606.40625,0.10369867831468582,,367
,,,,,,0.0005,368
8,146903.34375,0.004163844510912895,3148.361083984375,143754.90625,0.08944907039403915,,413
,,,,,,0.0005,414
9,146061.390625,0.0039255209267139435,3148.361328125,142912.953125,0.08023994415998459,,459
,,,,,,0.0005,460
10,145227.359375,0.0037026756908744574,3148.358642578125,142078.921875,0.07447123527526855,,505
,,,,,,0.0005,506
11,144400.078125,0.0034913229756057262,3148.353515625,141251.65625,0.07126819342374802,,551
,,,,,,0.0005,552
12,143578.71875,0.003287979168817401,3148.345458984375,140430.3125,0.07018277049064636,,597
,,,,,,0.0005,598
13,142762.6875,0.0030890044290572405,3148.33349609375,139614.28125,0.07106544077396393,,643
,,,,,,0.0005,644
14,141951.5,0.002890335861593485,3148.317138671875,138803.140625,0.07403822988271713,,689
,,,,,,0.0005,690
15,141144.78125,0.002686817664653063,3148.2939453125,137996.375,0.07956193387508392,,735
,,,,,,0.0005,736
16,140342.171875,0.002471211366355419,3148.26123046875,137193.828125,0.088655985891819,,781
,,,,,,0.0005,782
17,139543.484375,0.0022325769532471895,3148.212890625,136395.15625,0.1034737378358841,,827
,,,,,,0.0005,828
18,138748.484375,0.001953389262780547,3148.134765625,135600.1875,0.128928080201149,,873
,,,,,,0.0005,874
19,137956.953125,0.0016032812418416142,3147.9970703125,134808.78125,0.17828267812728882,,919
,,,,,,0.0005,920
20,137168.75,0.0011274402495473623,3147.712890625,134020.75,0.29904794692993164,,965
,,,,,,0.0005,966
21,136383.703125,0.000460862327599898,3147.0029296875,133235.984375,0.7158456444740295,,1011
,,,,,,0.0005,1012
22,135601.71875,0.00015246901602949947,3145.7939453125,132454.359375,1.5661945343017578,,1057
,,,,,,0.0005,1058
23,134822.703125,0.0028097035828977823,3145.158935546875,131675.859375,1.6917051076889038,,1103
,,,,,,0.0005,1104
24,134046.546875,0.008955906145274639,3143.939697265625,130900.3671875,2.241408109664917,,1149
,,,,,,0.0005,1150
25,133273.640625,0.018923718482255936,3143.2431640625,130127.8203125,2.5453922748565674,,1195
,,,,,,0.0005,1196
26,132503.453125,0.03162919357419014,3142.383544921875,129358.125,2.9296441078186035,,1241
,,,,,,0.0005,1242
27,131736.265625,0.0463033951818943,3141.62744140625,128591.3046875,3.3188741207122803,,1287
,,,,,,0.0005,1288
28,130971.671875,0.06177583709359169,3140.653564453125,127827.28125,3.736443281173706,,1333
,,,,,,0.0005,1334
29,130209.8671875,0.0750618502497673,3139.421142578125,127066.015625,4.448511600494385,,1379
,,,,,,0.0005,1380
30,129450.8671875,0.08512129634618759,3138.27294921875,126307.5234375,5.1229376792907715,,1425
,,,,,,0.0005,1426
31,128694.8984375,0.09496600180864334,3137.6923828125,125551.6484375,5.544262409210205,,1471
,,,,,,0.0005,1472
32,127941.203125,0.10498803853988647,3136.871826171875,124798.484375,5.857834339141846,,1517
,,,,,,0.0005,1518
33,127190.1484375,0.11423526704311371,3135.852294921875,124047.9609375,6.341049671173096,,1563
,,,,,,0.0005,1564
34,126441.3515625,0.12275926768779755,3134.75244140625,123300.0234375,6.5934062004089355,,1609
,,,,,,0.0005,1610
35,125695.3984375,0.13004136085510254,3133.393310546875,122554.6953125,7.308907985687256,,1655
,,,,,,0.0005,1656
36,124951.859375,0.13538996875286102,3132.03466796875,121812.0078125,7.8508710861206055,,1701
,,,,,,0.0005,1702
37,124211.2265625,0.13668477535247803,3130.75,121071.9140625,8.585761070251465,,1747
,,,,,,0.0005,1748
38,123473.03125,0.13302025198936462,3129.415771484375,120334.3984375,9.195131301879883,,1793
,,,,,,0.0005,1794
39,122737.5546875,0.1255827695131302,3128.114013671875,119599.484375,9.933530807495117,,1839
,,,,,,0.0005,1840
40,122004.453125,0.11588907241821289,3126.993896484375,118867.1171875,10.34228515625,,1885
,,,,,,0.0005,1886
41,121274.5703125,0.10492822527885437,3126.12158203125,118137.28125,11.180583000183105,,1931
,,,,,,0.0005,1932
42,120545.9609375,0.09379684925079346,3124.752197265625,117409.9609375,11.264527320861816,,1977
,,,,,,0.0005,1978
43,119821.59375,0.08580487966537476,3124.364013671875,116685.046875,12.189743041992188,,2023
,,,,,,0.0005,2024
44,119097.7265625,0.07652215659618378,3123.048583984375,115962.640625,12.037738800048828,,2069
,,,,,,0.0005,2070
45,118379.1875,0.06927496194839478,3123.74072265625,115242.609375,12.829755783081055,,2115
,,,,,,0.0005,2116
46,117659.28125,0.06054742634296417,3121.64111328125,114525.109375,12.525569915771484,,2161
,,,,,,0.0005,2162
47,116946.171875,0.05589604750275612,3123.141845703125,113809.84375,13.211634635925293,,2207
,,,,,,0.0005,2208
48,116230.7578125,0.04799722880125046,3120.513916015625,113097.1796875,13.071352005004883,,2253
,,,,,,0.0005,2254
49,115522.25,0.04431118816137314,3122.19140625,112386.609375,13.448416709899902,,2299
,,,,,,0.0005,2300
50,114811.65625,0.03803103417158127,3119.369384765625,111678.625,13.67000675201416,,2345
,,,,,,0.0005,2346
51,114107.8359375,0.03458079323172569,3121.17138671875,110972.7734375,13.880383491516113,,2391
,,,,,,0.0005,2392
52,113402.171875,0.029682816937565804,3118.52685546875,110269.4921875,14.149751663208008,,2437
,,,,,,0.0005,2438
53,112702.8828125,0.02672872692346573,3120.2529296875,109568.3515625,14.279486656188965,,2483
,,,,,,0.0005,2484
54,112002.109375,0.02285151369869709,3117.690673828125,108869.7421875,14.680363655090332,,2529
,,,,,,0.0005,2530
55,111307.0234375,0.02031640149652958,3119.080810546875,108173.21875,14.722321510314941,,2575
,,,,,,0.0005,2576
56,110611.4609375,0.017167160287499428,3117.14306640625,107479.265625,15.100329399108887,,2621
,,,,,,0.0005,2622
57,109920.5625,0.014913074672222137,3118.037841796875,106787.40625,15.126744270324707,,2667
,,,,,,0.0005,2668
58,109230.140625,0.012503770180046558,3116.759765625,106098.0,15.404337882995605,,2713
,,,,,,0.0005,2714
59,108543.4296875,0.010624230839312077,3117.206787109375,105410.796875,15.43249797821045,,2759
,,,,,,0.0005,2760
