epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,0
0,65.79014587402344,1.0746265649795532,0.0940583199262619,0.5585242509841919,65.13758850097656,,45
,,,,,,0.0005,46
1,0.3298194110393524,1.1850556135177612,0.010467955842614174,0.26328256726264954,0.05606892332434654,,91
,,,,,,0.0005,92
2,0.012286760844290257,1.2906033992767334,0.00999536458402872,0.0015712343156337738,0.0007201608386822045,,137
,,,,,,0.0005,138
3,0.01010417565703392,1.3038760423660278,0.010011928156018257,8.714154319022782e-06,8.353379962500185e-05,,183
,,,,,,0.0005,184
4,0.010072244331240654,1.308403491973877,0.010016699321568012,1.6710396266716998e-07,5.5380140111083165e-05,,229
,,,,,,0.0005,230
5,0.010061124339699745,1.3118221759796143,0.010019540786743164,6.592566137442191e-08,4.151522443862632e-05,,275
,,,,,,0.0005,276
6,0.01005555596202612,1.3147052526474,0.010021508671343327,5.187327190014912e-08,3.399499473744072e-05,,321
,,,,,,0.0005,322
7,0.010050560347735882,1.3172476291656494,0.010022955946624279,4.18656647127591e-08,2.7561858587432653e-05,,367
,,,,,,0.0005,368
8,0.010047606192529202,1.3195523023605347,0.010024065151810646,3.5467024872559705e-08,2.3506543584517203e-05,,413
,,,,,,0.0005,414
9,0.01004795078188181,1.32168447971344,0.01002493780106306,3.297842354754721e-08,2.2979123968980275e-05,,459
,,,,,,0.0005,460
10,0.010046551004052162,1.3236873149871826,0.010025639086961746,2.9670744083887257e-08,2.0882242097286507e-05,,505
,,,,,,0.0005,506
11,0.010042744688689709,1.325593113899231,0.01002619881182909,2.4765256512182532e-08,1.6519512428203598e-05,,551
,,,,,,0.0005,552
12,0.010042063891887665,1.3274250030517578,0.010026657022535801,2.297667478501353e-08,1.5382129276986234e-05,,597
,,,,,,0.0005,598
13,0.010040651075541973,1.3292008638381958,0.01002703607082367,2.055788783650314e-08,1.3594107258541044e-05,,643
,,,,,,0.0005,644
14,0.010039460845291615,1.3309351205825806,0.010027343407273293,1.8803380186227514e-08,1.2102121218049433e-05,,689
,,,,,,0.0005,690
15,0.010041661560535431,1.332640528678894,0.01002758089452982,2.008289889943171e-08,1.4059695786272641e-05,,735
,,,,,,0.0005,736
16,0.01004145760089159,1.3343275785446167,0.010027771815657616,1.937446469923998e-08,1.366660126222996e-05,,781
,,,,,,0.0005,782
17,0.01004174817353487,1.3360052108764648,0.01002790778875351,1.942499139317988e-08,1.3821590073348489e-05,,827
,,,,,,0.0005,828
18,0.010041745379567146,1.3376826047897339,0.010027998127043247,1.904140667363663e-08,1.3727391888096463e-05,,873
,,,,,,0.0005,874
19,0.01004081405699253,1.3393681049346924,0.010028044693171978,1.79558643509381e-08,1.2751851500070188e-05,,919
,,,,,,0.0005,920
20,0.010040348395705223,1.3410704135894775,0.010028038173913956,1.738597710243539e-08,1.2292078281461727e-05,,965
,,,,,,0.0005,966
21,0.010039303451776505,1.3427988290786743,0.010027986951172352,1.627449286445426e-08,1.1299954167043325e-05,,1011
,,,,,,0.0005,1012
22,0.01003760565072298,1.3445647954940796,0.01002788171172142,1.4293386030317379e-08,9.710861377243418e-06,,1057
,,,,,,0.0005,1058
23,0.010039206594228745,1.3463778495788574,0.010027720592916012,1.576964514526935e-08,1.1472575351945125e-05,,1103
,,,,,,0.0005,1104
24,0.010041286237537861,1.348251461982727,0.010027488693594933,1.8009249203032596e-08,1.3780313565803226e-05,,1149
,,,,,,0.0005,1150
25,0.010036913678050041,1.3502016067504883,0.010027195326983929,1.3579027680066247e-08,9.704329386295285e-06,,1195
,,,,,,0.0005,1196
26,0.010038960725069046,1.3522471189498901,0.010026820003986359,1.575158314892633e-08,1.2124482054787222e-05,,1241
,,,,,,0.0005,1242
27,0.010038374923169613,1.3544113636016846,0.010026364587247372,1.5301187872296396e-08,1.199539201479638e-05,,1287
,,,,,,0.0005,1288
28,0.010038034990429878,1.3567228317260742,0.01002585981041193,1.517514469639991e-08,1.2162145139882341e-05,,1333
,,,,,,0.0005,1334
29,0.010037570260465145,1.3592067956924438,0.010025334544479847,1.4689402583201172e-08,1.2221562428749166e-05,,1379
,,,,,,0.0005,1380
