epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,0
0,4242272768.0,9.42868709564209,0.5331587791442871,0.48938900232315063,4242272768.0,,44
,,,,,,0.0005,45
1,3262.29248046875,9.620643615722656,0.48056522011756897,0.20306448638439178,3261.609375,,89
,,,,,,0.0005,90
2,1.031409740447998,9.67734146118164,0.48058393597602844,0.00044119945960119367,0.5503849387168884,,134
,,,,,,0.0005,135
3,0.49213749170303345,9.68144702911377,0.4805857837200165,3.4053066428896273e-06,0.011548234149813652,,179
,,,,,,0.0005,180
4,0.4815112352371216,9.68172550201416,0.4805859923362732,2.5410392368030443e-07,0.0009250077418982983,,224
,,,,,,0.0005,225
5,0.4811546206474304,9.681745529174805,0.4805859923362732,1.360965171670614e-07,0.0005684563657268882,,269
,,,,,,0.0005,270
6,0.48115450143814087,9.68175220489502,0.4805859923362732,9.444800497249162e-08,0.0005684482748620212,,314
,,,,,,0.0005,315
7,0.48115450143814087,9.681760787963867,0.4805859923362732,7.128259937871917e-08,0.0005684442585334182,,359
,,,,,,0.0005,360
8,0.48115450143814087,9.68176555633545,0.4805859923362732,5.647941847541915e-08,0.0005684418138116598,,404
,,,,,,0.0005,405
9,0.4809308350086212,9.681772232055664,0.48058605194091797,4.6253894936398865e-08,0.00034467646037228405,,449
,,,,,,0.0005,450
10,0.48058614134788513,9.681775093078613,0.48058614134788513,3.879921806060338e-08,7.148864611394856e-09,,494
,,,,,,0.0005,495
11,0.48058614134788513,9.681775093078613,0.48058614134788513,3.3137393273818816e-08,6.03748473437804e-09,,539
,,,,,,0.0005,540
12,0.48058614134788513,9.681775093078613,0.48058614134788513,2.8716659272731704e-08,5.1810795653750574e-09,,584
,,,,,,0.0005,585
13,0.48058614134788513,9.681775093078613,0.48058614134788513,2.517725050665831e-08,4.504393746884716e-09,,629
,,,,,,0.0005,630
14,0.48058614134788513,9.681775093078613,0.48058614134788513,2.2287416356903123e-08,3.958681826787824e-09,,674
,,,,,,0.0005,675
15,0.48058614134788513,9.681775093078613,0.48058614134788513,1.9892469893534326e-08,3.5110594431841946e-09,,719
,,,,,,0.0005,720
16,0.48058614134788513,9.681775093078613,0.48058614134788513,1.7880212865861722e-08,3.138560522586431e-09,,764
,,,,,,0.0005,765
17,0.48058614134788513,9.681775093078613,0.48058614134788513,1.616807665527631e-08,2.824730893635774e-09,,809
,,,,,,0.0005,810
18,0.48058614134788513,9.681775093078613,0.48058614134788513,1.4696610151077039e-08,2.557472900122093e-09,,854
,,,,,,0.0005,855
19,0.48058614134788513,9.681775093078613,0.48058614134788513,1.342269140280905e-08,2.3277364480378537e-09,,899
,,,,,,0.0005,900
20,0.48058614134788513,9.681775093078613,0.48058614134788513,1.230984381095368e-08,2.128591303218741e-09,,944
,,,,,,0.0005,945
21,0.48058614134788513,9.681775093078613,0.48058614134788513,1.1331310112439041e-08,1.9546770868572594e-09,,989
,,,,,,0.0005,990
22,0.48058614134788513,9.681775093078613,0.48058614134788513,1.0466330913061483e-08,1.8017880520915242e-09,,1034
,,,,,,0.0005,1035
23,0.48058614134788513,9.681775093078613,0.48058614134788513,9.693534863686182e-09,1.6665695490303278e-09,,1079
,,,,,,0.0005,1080
24,0.48058614134788513,9.681775093078613,0.48058614134788513,9.004081036323441e-09,1.5463369473778243e-09,,1124
,,,,,,0.0005,1125
25,0.48058614134788513,9.681775093078613,0.48058614134788513,8.38417335558006e-09,1.4388865654524352e-09,,1169
,,,,,,0.0005,1170
26,0.48058614134788513,9.681775093078613,0.48058614134788513,7.825221359780699e-09,1.3424262812478105e-09,,1214
,,,,,,0.0005,1215
27,0.48058614134788513,9.681775093078613,0.48058614134788513,7.319510775261051e-09,1.2554650652418786e-09,,1259
,,,,,,0.0005,1260
28,0.48058614134788513,9.681775093078613,0.48058614134788513,6.856104128871721e-09,1.1767722352118426e-09,,1304
,,,,,,0.0005,1305
29,0.48058614134788513,9.681775093078613,0.48058614134788513,6.437608224274527e-09,1.105305180715277e-09,,1349
,,,,,,0.0005,1350
30,0.48058614134788513,9.681775093078613,0.48058614134788513,6.0532765466803085e-09,1.0401804972914874e-09,,1394
,,,,,,0.0005,1395
31,0.48058614134788513,9.681775093078613,0.48058614134788513,5.699968053107796e-09,9.806548906254875e-10,,1439
,,,,,,0.0005,1440
32,0.48058614134788513,9.681775093078613,0.48058614134788513,5.375518252748179e-09,9.26092702524528e-10,,1484
,,,,,,0.0005,1485
33,0.48058614134788513,9.681775093078613,0.48058614134788513,5.0760351477663335e-09,8.759456493478979e-10,,1529
,,,,,,0.0005,1530
34,0.48058614134788513,9.681775093078613,0.48058614134788513,4.798714314802055e-09,8.297410536428629e-10,,1574
,,,,,,0.0005,1575
35,0.48058614134788513,9.681775093078613,0.48058614134788513,4.542030751508719e-09,7.870680773791605e-10,,1619
,,,,,,0.0005,1620
36,0.48058614134788513,9.681775093078613,0.48058614134788513,4.303508660541411e-09,7.475700058989787e-10,,1664
,,,,,,0.0005,1665
37,0.48058614134788513,9.681775093078613,0.48058614134788513,4.0822549784991224e-09,7.109318689302313e-10,,1709
,,,,,,0.0005,1710
38,0.48058614134788513,9.681775093078613,0.48058614134788513,3.876394316648657e-09,6.768802185419531e-10,,1754
,,,,,,0.0005,1755
39,0.48058614134788513,9.681775093078613,0.48058614134788513,3.6829312932695757e-09,6.451728595813222e-10,,1799
,,,,,,0.0005,1800
40,0.48058614134788513,9.681775093078613,0.48058614134788513,3.5028844269646697e-09,6.155980725175425e-10,,1844
,,,,,,0.0005,1845
41,0.48058614134788513,9.681775093078613,0.48058614134788513,3.333768816560223e-09,5.879650655238322e-10,,1889
,,,,,,0.0005,1890
42,0.48058614134788513,9.681775093078613,0.48058614134788513,3.1757045881875e-09,5.621055843008094e-10,,1934
,,,,,,0.0005,1935
43,0.48058614134788513,9.681775093078613,0.48058614134788513,3.0270050910274904e-09,5.378704703851156e-10,,1979
,,,,,,0.0005,1980
44,0.48058614134788513,9.681775093078613,0.48058614134788513,2.8875699609187677e-09,5.151218340770924e-10,,2024
,,,,,,0.0005,2025
45,0.48058614134788513,9.681775093078613,0.48058614134788513,2.7558668680427445e-09,4.937415476469198e-10,,2069
,,,,,,0.0005,2070
46,0.48058614134788513,9.681775093078613,0.48058614134788513,2.632131623769851e-09,4.736198100374622e-10,,2114
,,,,,,0.0005,2115
47,0.48058614134788513,9.681775093078613,0.48058614134788513,2.5149522464573693e-09,4.5465969877866996e-10,,2159
,,,,,,0.0005,2160
48,0.48058614134788513,9.681775093078613,0.48058614134788513,2.40434050446936e-09,4.367728123622072e-10,,2204
,,,,,,0.0005,2205
49,0.48058614134788513,9.681775093078613,0.48058614134788513,2.299512580350438e-09,4.198799086196914e-10,,2249
,,,,,,0.0005,2250
50,0.48058614134788513,9.681775093078613,0.48058614134788513,2.2010036015984724e-09,4.0390746303131664e-10,,2294
,,,,,,0.0005,2295
51,0.48058614134788513,9.681775093078613,0.48058614134788513,2.1075656775337848e-09,3.887883626152444e-10,,2339
,,,,,,0.0005,2340
52,0.48058614134788513,9.681775093078613,0.48058614134788513,2.018532008207785e-09,3.7446409861807695e-10,,2384
,,,,,,0.0005,2385
53,0.48058614134788513,9.681775093078613,0.48058614134788513,1.934452376062268e-09,3.6087929866646107e-10,,2429
,,,,,,0.0005,2430
54,0.48058614134788513,9.681775093078613,0.48058614134788513,1.854441267212792e-09,3.4798311454586894e-10,,2474
,,,,,,0.0005,2475
55,0.48058614134788513,9.681775093078613,0.48058614134788513,1.7785718453566801e-09,3.357312206020424e-10,,2519
,,,,,,0.0005,2520
56,0.48058614134788513,9.681775093078613,0.48058614134788513,1.706038421644962e-09,3.240808454929578e-10,,2564
,,,,,,0.0005,2565
57,0.48058614134788513,9.681775093078613,0.48058614134788513,1.6371619615540567e-09,3.129923820122116e-10,,2609
,,,,,,0.0005,2610
58,0.48058614134788513,9.681775093078613,0.48058614134788513,1.5715938550542319e-09,3.024315797794941e-10,,2654
,,,,,,0.0005,2655
59,0.48058614134788513,9.681775093078613,0.48058614134788513,1.5090085847546675e-09,2.923657704823057e-10,,2699
,,,,,,0.0005,2700
60,0.48058614134788513,9.681775093078613,0.48058614134788513,1.449309783296826e-09,2.8276420094286436e-10,,2744
,,,,,,0.00025,2745
61,0.48058614134788513,9.681775093078613,0.48058614134788513,1.406234351186697e-09,2.7576704808573993e-10,,2789
,,,,,,0.00025,2790
62,0.48058614134788513,9.681775093078613,0.48058614134788513,1.3781648044997041e-09,2.712612912070256e-10,,2834
,,,,,,0.00025,2835
63,0.48058614134788513,9.681775093078613,0.48058614134788513,1.3507656104749799e-09,2.668130161254112e-10,,2879
,,,,,,0.00025,2880
64,0.48058614134788513,9.681775093078613,0.48058614134788513,1.3230653239659773e-09,2.624217232405357e-10,,2924
,,,,,,0.00025,2925
65,0.48058614134788513,9.681775093078613,0.48058614134788513,1.29641575252748e-09,2.580879676639114e-10,,2969
,,,,,,0.00025,2970
66,0.48058614134788513,9.681775093078613,0.48058614134788513,1.269660154790131e-09,2.538124710405043e-10,,3014
,,,,,,0.00025,3015
67,0.48058614134788513,9.681775093078613,0.48058614134788513,1.2437433305478862e-09,2.4959620481546096e-10,,3059
,,,,,,0.00025,3060
68,0.48058614134788513,9.681775093078613,0.48058614134788513,1.2177235886312587e-09,2.454382808103617e-10,,3104
,,,,,,0.00025,3105
69,0.48058614134788513,9.681775093078613,0.48058614134788513,1.19234444539984e-09,2.4133817166926974e-10,,3149
,,,,,,0.00025,3150
70,0.48058614134788513,9.681775093078613,0.48058614134788513,1.1674125000027402e-09,2.372972096598147e-10,,3194
,,,,,,0.00025,3195
71,0.48058614134788513,9.681775093078613,0.48058614134788513,1.1425664858677465e-09,2.3331478415933304e-10,,3239
,,,,,,0.00025,3240
72,0.48058614134788513,9.681775093078613,0.48058614134788513,1.1183420856042403e-09,2.2939032617852462e-10,,3284
,,,,,,0.00025,3285
73,0.48058614134788513,9.681775093078613,0.48058614134788513,1.0942008410452786e-09,2.25523433261543e-10,,3329
,,,,,,0.00025,3330
74,0.48058614134788513,9.681775093078613,0.48058614134788513,1.0706698860829533e-09,2.217140915306004e-10,,3374
,,,,,,0.00025,3375
75,0.48058614134788513,9.681775093078613,0.48058614134788513,1.0473959477508288e-09,2.1796162097409422e-10,,3419
,,,,,,0.00025,3420
76,0.48058614134788513,9.681775093078613,0.48058614134788513,1.0247156456699713e-09,2.142667987481417e-10,,3464
,,,,,,0.00025,3465
77,0.48058614134788513,9.681775093078613,0.48058614134788513,1.0021166119145164e-09,2.1062894484114025e-10,,3509
,,,,,,0.00025,3510
78,0.48058614134788513,9.681775093078613,0.48058614134788513,9.80100778313897e-10,2.0704814251981674e-10,,3554
,,,,,,0.00025,3555
79,0.48058614134788513,9.681775093078613,0.48058614134788513,9.58165879971773e-10,2.035239754505369e-10,,3599
,,,,,,0.00025,3600
80,0.48058614134788513,9.681775093078613,0.48058614134788513,9.36965061093531e-10,2.0005574974391038e-10,,3644
,,,,,,0.00025,3645
81,0.48058614134788513,9.681775093078613,0.48058614134788513,9.158414582266516e-10,1.9664253558815403e-10,,3689
,,,,,,0.00025,3690
82,0.48058614134788513,9.681775093078613,0.48058614134788513,8.951168140036714e-10,1.9328426359432882e-10,,3734
,,,,,,0.00025,3735
83,0.48058614134788513,9.681775093078613,0.48058614134788513,8.747847446421986e-10,1.8998079498455667e-10,,3779
,,,,,,0.00025,3780
84,0.48058614134788513,9.681775093078613,0.48058614134788513,8.546866547831655e-10,1.867321852699888e-10,,3824
,,,,,,0.00025,3825
85,0.48058614134788513,9.681775093078613,0.48058614134788513,8.349784197392296e-10,1.8353706054963226e-10,,3869
,,,,,,0.00025,3870
86,0.48058614134788513,9.681775093078613,0.48058614134788513,8.154988351272152e-10,1.8039490734533814e-10,,3914
,,,,,,0.00025,3915
87,0.48058614134788513,9.681775093078613,0.48058614134788513,7.969963022880222e-10,1.7730468482302086e-10,,3959
,,,,,,0.00025,3960
88,0.48058614134788513,9.681775093078613,0.48058614134788513,7.782610111917165e-10,1.7426586562674373e-10,,4004
,,,,,,0.00025,4005
89,0.48058614134788513,9.681775093078613,0.48058614134788513,7.598947582287963e-10,1.7127917140147275e-10,,4049
,,,,,,0.00025,4050
90,0.48058614134788513,9.681775093078613,0.48058614134788513,7.417503833373473e-10,1.6834364457984918e-10,,4094
,,,,,,0.00025,4095
91,0.48058614134788513,9.681775093078613,0.48058614134788513,7.243947108825921e-10,1.6545823044999963e-10,,4139
,,,,,,0.00025,4140
92,0.48058614134788513,9.681775093078613,0.48058614134788513,7.072410435071674e-10,1.6262266533395575e-10,,4184
,,,,,,0.00025,4185
93,0.48058614134788513,9.681775093078613,0.48058614134788513,6.897396542804302e-10,1.5983603329772222e-10,,4229
,,,,,,0.00025,4230
94,0.48058614134788513,9.681775093078613,0.48058614134788513,6.734210966641285e-10,1.5709768208527208e-10,,4274
,,,,,,0.00025,4275
95,0.48058614134788513,9.681775093078613,0.48058614134788513,6.574300548400913e-10,1.5440716760739548e-10,,4319
,,,,,,0.00025,4320
96,0.48058614134788513,9.681775093078613,0.48058614134788513,6.408273911517881e-10,1.5176403189709475e-10,,4364
,,,,,,0.00025,4365
97,0.48058614134788513,9.681775093078613,0.48058614134788513,6.253658701993459e-10,1.4916769208728198e-10,,4409
,,,,,,0.00025,4410
98,0.48058614134788513,9.681775093078613,0.48058614134788513,6.099602489761935e-10,1.4661762082202046e-10,,4454
,,,,,,0.00025,4455
99,0.48058614134788513,9.681775093078613,0.48058614134788513,5.947478620704771e-10,1.4411302706740514e-10,,4499
,,,,,,0.00025,4500
100,0.48058614134788513,9.681775093078613,0.48058614134788513,5.802364144713579e-10,1.4165309203395537e-10,,4544
,,,,,,0.00025,4545
101,0.48058614134788513,9.681775093078613,0.48058614134788513,5.651488166336094e-10,1.392372050990076e-10,,4589
,,,,,,0.00025,4590
102,0.48058614134788513,9.681775093078613,0.48058614134788513,5.515047307724785e-10,1.36864561350869e-10,,4634
,,,,,,0.00025,4635
103,0.48058614134788513,9.681775093078613,0.48058614134788513,5.369206745875488e-10,1.3453470282254187e-10,,4679
,,,,,,0.00025,4680
104,0.48058614134788513,9.681775093078613,0.48058614134788513,5.239865208395145e-10,1.3224726869154324e-10,,4724
,,,,,,0.00025,4725
105,0.48058614134788513,9.681775093078613,0.48058614134788513,5.098938493652838e-10,1.3000105159033382e-10,,4769
,,,,,,0.00025,4770
