epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
,,,,,,,,,,,0.0005,,0
0,0.4103081524372101,0.0369134247303009,0.0369134247303009,0.2617972493171692,0.2059570848941803,0.05584011599421501,0.11159758269786835,0.0008115453529171646,0.00030443037394434214,,,0.4951067268848419,45
,,,,,,,,,,,0.0005,,46
1,0.045484986156225204,0.017788568511605263,0.017788568511605263,0.007985335774719715,0.0064689721912145615,0.0015163649804890156,0.01971108838915825,9.499530278844759e-05,0.00010211562766926363,,,0.49410051107406616,91
,,,,,,,,,,,0.0005,,92
2,0.020950546488165855,0.011666989885270596,0.011666989885270596,0.0009468935895711184,0.0006254481268115342,0.00032144555007107556,0.008336661383509636,2.8781923901988193e-05,5.458468876895495e-05,,,0.48403966426849365,137
,,,,,,,,,,,0.0005,,138
3,0.012386374175548553,0.009823866188526154,0.009823866188526154,5.226369830779731e-05,4.904076922684908e-05,3.2229443149844883e-06,0.002510240999981761,3.4076931569870794e-06,2.169472281821072e-05,,,0.4774094521999359,183
,,,,,,,,,,,0.0005,,184
4,0.011644786223769188,0.009849297814071178,0.009849297814071178,2.1395737348939292e-05,1.8933977116830647e-05,2.4617577309982153e-06,0.0017740912735462189,1.3875338709112839e-06,1.6353380487998948e-05,,,0.4748374819755554,229
,,,,,,,,,,,0.0005,,230
5,0.011373244225978851,0.00965580902993679,0.00965580902993679,1.965468436537776e-05,1.4021986316947732e-05,5.632700322166784e-06,0.0016977818449959159,1.60146282723872e-06,1.5376353985629976e-05,,,0.47378602623939514,275
,,,,,,,,,,,0.0005,,276
6,0.011095378547906876,0.00959964469075203,0.00959964469075203,2.0262019461370073e-05,1.1718653695425019e-05,8.543363946955651e-06,0.0014754724688827991,1.4807976640440756e-06,1.3273924196255393e-05,,,0.4724104106426239,321
,,,,,,,,,,,0.0005,,322
7,0.01033328752964735,0.009357878006994724,0.009357878006994724,3.5201483115088195e-05,9.349626452603843e-06,2.585185575298965e-05,0.0009402064606547356,1.6692000599505263e-06,7.732864105491899e-06,,,0.46996235847473145,367
,,,,,,,,,,,0.0005,,368
8,0.010562878102064133,0.009525013156235218,0.009525013156235218,3.3888511097757146e-05,8.266606528195553e-06,2.5621899112593383e-05,0.0010039765620604157,1.2438547400961397e-06,8.795907888270449e-06,,,0.46583351492881775,413
,,,,,,,,,,,0.0005,,414
9,0.010156271979212761,0.009181072004139423,0.009181072004139423,2.6703504772740416e-05,7.6210812949284445e-06,1.908242302306462e-05,0.0009484972106292844,2.034235649261973e-06,7.450737030012533e-06,,,0.46120765805244446,459
,,,,,,,,,,,0.0005,,460
10,0.00992264412343502,0.009369445033371449,0.009369445033371449,3.466659472906031e-05,8.52213088364806e-06,2.6144462026422843e-05,0.0005185302579775453,2.1644450498570222e-06,3.020856865987298e-06,,,0.45362138748168945,505
,,,,,,,,,,,0.0005,,506
