epoch,loss,loss/data,loss/ic,loss/res,loss/smma,lr,params/beta,step
,,,,,,0.0005,,0
0,2.2054548263549805,0.0791536346077919,0.37705883383750916,1.7492419481277466,,,0.46751782298088074,45
,,,,,,0.0005,,46
1,0.02294379100203514,0.017838871106505394,0.0007667106110602617,0.004338216036558151,,,1.0106391906738281,91
,,,,,,0.0005,,92
2,0.018003523349761963,0.017978092655539513,3.95827282773098e-06,2.1472071239259094e-05,,,1.3132469654083252,137
,,,,,,0.0005,,138
3,0.017979586496949196,0.01787651889026165,1.0597398613754194e-05,9.24736523302272e-05,,,1.3981469869613647,183
,,,,,,0.0005,,184
4,0.01799759268760681,0.017857417464256287,2.0699302694993094e-05,0.00011947490565944463,,,1.6026926040649414,229
,,,,,,0.0005,,230
5,0.017987361177802086,0.017871003597974777,2.2495143639389426e-05,9.386386227561161e-05,,,1.8793458938598633,275
,,,,,,0.0005,,276
6,0.017978310585021973,0.01784725859761238,2.951770329673309e-05,0.00010153346374863759,,,2.192793607711792,321
,,,,,,0.0005,,322
7,0.01796841248869896,0.01782810129225254,4.126078056287952e-05,9.905223123496398e-05,,,2.566354274749756,367
,,,,,,0.0005,,368
8,0.017955897375941277,0.01778736524283886,6.206108082551509e-05,0.00010647132148733363,,,2.983684539794922,413
,,,,,,0.0005,,414
9,0.01794152706861496,0.017738664522767067,9.138187306234613e-05,0.00011147603072458878,,,3.3745367527008057,459
,,,,,,0.0005,,460
10,0.017922131344676018,0.017670713365077972,0.00011960582924075425,0.00013180822134017944,,,3.662299156188965,505
,,,,,,0.0005,,506
11,0.017886504530906677,0.017593663185834885,0.00013692700304090977,0.00015591763076372445,,,3.8520936965942383,551
,,,,,,0.0005,,552
12,0.017834119498729706,0.01751401461660862,0.00015207835531327873,0.00016802444588392973,,,3.9692349433898926,597
,,,,,,0.0005,,598
13,0.017775041982531548,0.01744752749800682,0.00016679210239090025,0.0001607199083082378,,,4.016480445861816,643
,,,,,,0.0005,,644
14,0.01771123893558979,0.01733935810625553,0.0001917030313052237,0.0001801739854272455,,,4.028379440307617,689
,,,,,,0.0005,,690
15,0.01764623261988163,0.017288491129875183,0.0002136088878614828,0.00014413922326639295,,,3.9980647563934326,735
,,,,,,0.0005,,736
16,0.017582973465323448,0.017239956185221672,0.00021194810688029975,0.00013106797996442765,,,4.0316691398620605,781
,,,,,,0.0005,,782
17,0.017540227621793747,0.017146145924925804,0.00023622803564649075,0.0001578520896146074,,,4.078708171844482,827
,,,,,,0.0005,,828
18,0.01746310479938984,0.01709342934191227,0.00024628062965348363,0.00012338996748439968,,,4.0560784339904785,873
,,,,,,0.0005,,874
19,0.017392106354236603,0.017015404999256134,0.0002704419894143939,0.00010625636059558019,,,4.049717426300049,919
,,,,,,0.0005,,920
20,0.017326055094599724,0.01694251410663128,0.0002887178852688521,9.482073073741049e-05,,,4.020339012145996,965
,,,,,,0.0005,,966
21,0.017248841002583504,0.01686282455921173,0.00030045100720599294,8.556676766602322e-05,,,3.9825713634490967,1011
,,,,,,0.0005,,1012
22,0.017126699909567833,0.016754919663071632,0.0002805288240779191,9.124900680035353e-05,,,3.9205434322357178,1057
,,,,,,0.0005,,1058
23,0.016844067722558975,0.016488689929246902,0.00021430601191241294,0.00014107143215369433,,,3.807964563369751,1103
,,,,,,0.0005,,1104
24,0.016470903530716896,0.016030704602599144,0.0001748397626215592,0.00026535833603702486,,,3.7021517753601074,1149
,,,,,,0.0005,,1150
25,0.016039332374930382,0.015499826520681381,0.00016931687423493713,0.0003701958048623055,,,3.647688150405884,1195
,,,,,,0.0005,,1196
26,0.015630988404154778,0.014964508824050426,0.00017355695308651775,0.000492930761538446,,,3.5983657836914062,1241
,,,,,,0.0005,,1242
27,0.014952629804611206,0.014415137469768524,0.00018910142534878105,0.0003483904874883592,,,3.3620362281799316,1287
,,,,,,0.0005,,1288
28,0.013836526311933994,0.013345086015760899,0.0002225881617050618,0.0002688520180527121,,,3.0045251846313477,1333
,,,,,,0.0005,,1334
29,0.01297956146299839,0.01245401706546545,0.00017680198652669787,0.0003487442445475608,,,2.804516077041626,1379
,,,,,,0.0005,,1380
30,0.012321983464062214,0.011814835481345654,0.00014184965402819216,0.00036529861972667277,,,2.6832032203674316,1425
,,,,,,0.0005,,1426
31,0.011832456104457378,0.011295463889837265,0.00013301712169777602,0.0004039719351567328,,,2.5908143520355225,1471
,,,,,,0.0005,,1472
32,0.01147809624671936,0.01091679371893406,0.0001302356831729412,0.0004310680378694087,,,2.4870150089263916,1517
,,,,,,0.0005,,1518
33,0.011198477819561958,0.01063317246735096,0.00011954428191529587,0.00044576122309081256,,,2.3869426250457764,1563
,,,,,,0.0005,,1564
34,0.01093815453350544,0.010370517149567604,0.00011581507715163752,0.0004518234636634588,,,2.304043769836426,1609
,,,,,,0.0005,,1610
35,0.010689156129956245,0.010129939764738083,0.00010461606871103868,0.0004546014533843845,,,2.2163352966308594,1655
,,,,,,0.0005,,1656
36,0.010440375655889511,0.009887521155178547,9.595846495358273e-05,0.0004568966687656939,,,2.1212069988250732,1701
,,,,,,0.0005,,1702
37,0.01020524837076664,0.009661704301834106,8.531063940608874e-05,0.0004582332621794194,,,2.010908842086792,1747
,,,,,,0.0005,,1748
38,0.009985812939703465,0.009449226781725883,7.740503497188911e-05,0.00045918443356640637,,,1.8963474035263062,1793
,,,,,,0.0005,,1794
39,0.009790152311325073,0.00926188100129366,6.977967859711498e-05,0.00045849152957089245,,,1.7767465114593506,1839
,,,,,,0.0005,,1840
40,0.009612617082893848,0.009089438244700432,6.449237116612494e-05,0.0004586858849506825,,,1.6602340936660767,1885
,,,,,,0.0005,,1886
41,0.0094538489356637,0.008938667364418507,5.8531360991764814e-05,0.0004566528950817883,,,1.5429961681365967,1931
,,,,,,0.0005,,1932
42,0.009306737221777439,0.00879575777798891,5.4879390518181026e-05,0.0004561003006529063,,,1.4296873807907104,1977
,,,,,,0.0005,,1978
43,0.009171586483716965,0.00866675190627575,5.231267641647719e-05,0.00045252509880810976,,,1.3158071041107178,2023
,,,,,,0.0005,,2024
44,0.009046127088367939,0.008542905561625957,5.285549923428334e-05,0.0004503671370912343,,,1.2050611972808838,2069
,,,,,,0.0005,,2070
45,0.008924520574510098,0.00843359436839819,4.5398737711366266e-05,0.0004455287416931242,,,1.0914051532745361,2115
,,,,,,0.0005,,2116
46,0.008800849318504333,0.008319517597556114,3.8044305256335065e-05,0.000443282478954643,,,0.9797213673591614,2161
,,,,,,0.0005,,2162
47,0.008680219762027264,0.00820203498005867,3.913927503162995e-05,0.0004390455433167517,,,0.8659496307373047,2207
,,,,,,0.0005,,2208
48,0.008563083596527576,0.008092421106994152,3.63198050763458e-05,0.00043434006511233747,,,0.7510325312614441,2253
,,,,,,0.0005,,2254
49,0.008444597013294697,0.007983104325830936,3.340489638503641e-05,0.0004280884750187397,,,0.6333402991294861,2299
,,,,,,0.0005,,2300
50,0.008333240635693073,0.00787494145333767,3.542207559803501e-05,0.0004228792677167803,,,0.5129028558731079,2345
,,,,,,0.0005,,2346
51,0.00821637362241745,0.007768101990222931,2.906936060753651e-05,0.00041920674266293645,,,0.3908750116825104,2391
,,,,,,0.0005,,2392
52,0.008121628314256668,0.0076599749736487865,4.066096880706027e-05,0.00042099106940440834,0.057289328426122665,,0.275292307138443,2437
,,,,,,0.0005,,2438
53,0.008007294498383999,0.007560827769339085,2.4401446353294887e-05,0.0004220674454700202,0.056303687393665314,,0.18575526773929596,2483
,,,,,,0.0005,,2484
54,0.0079082902520895,0.007453246507793665,2.7846876037074253e-05,0.00042719687917269766,0.05533577874302864,,0.15721730887889862,2529
,,,,,,0.0005,,2530
55,0.007809299975633621,0.007348676677793264,3.179925261065364e-05,0.0004288234922569245,0.05438524857163429,,0.2040633112192154,2575
,,,,,,0.0005,,2576
56,0.007700950838625431,0.007244840729981661,2.4206141461036168e-05,0.0004319070721976459,0.05345156416296959,,0.30526477098464966,2621
,,,,,,0.0005,,2622
57,0.007592265028506517,0.0071286424063146114,2.7422156563261524e-05,0.000436201662523672,0.052534375339746475,,0.419924795627594,2667
,,,,,,0.0005,,2668
