epoch,loss,loss/beta,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,,0.0005,0
0,309591.03125,1.4114962816238403,0.5116730332374573,309590.03125,0.4347512423992157,,,44
,,,,,,,0.0005,45
1,298850.90625,1.9998424053192139,0.47635123133659363,298850.375,0.0235271155834198,,,89
,,,,,,,0.0005,90
2,296156.34375,2.40474009513855,0.4777008593082428,296155.875,0.004875073209404945,,,134
,,,,,,,0.0005,135
3,294160.40625,2.5729925632476807,0.4783169627189636,294159.9375,0.0017923874547705054,,,179
,,,,,,,0.0005,180
4,292313.90625,2.65578031539917,0.47871625423431396,292313.40625,0.0009396913228556514,,,224
,,,,,,,0.0005,225
5,290542.875,2.705554962158203,0.4789687395095825,290542.375,0.0005887877196073532,,,269
,,,,,,,0.0005,270
6,288818.65625,2.738262176513672,0.4791381359100342,288818.21875,0.00041139102540910244,,,314
,,,,,,,0.0005,315
7,287127.21875,2.7605342864990234,0.4792575538158417,287126.71875,0.000309726718114689,,,359
,,,,,,,0.0005,360
8,285460.34375,2.7756993770599365,0.4793444573879242,285459.875,0.0002463451528456062,,,404
,,,,,,,0.0005,405
9,283813.0,2.785630226135254,0.4794091284275055,283812.5625,0.00020441022934392095,,,449
,,,,,,,0.0005,450
10,282181.78125,2.7914655208587646,0.4794576168060303,282181.34375,0.0001754504773998633,,,494
,,,,,,,0.0005,495
11,280564.28125,2.793936014175415,0.4794939160346985,280563.8125,0.00015482923481613398,,,539
,,,,,,,0.0005,540
12,278958.78125,2.7935283184051514,0.4795204997062683,278958.375,0.00013983913231641054,,,584
,,,,,,,0.0005,585
13,277364.09375,2.790571928024292,0.4795391261577606,277363.59375,0.00012881642032880336,,,629
,,,,,,,0.0005,630
14,275779.0625,2.7852916717529297,0.4795510470867157,275778.5625,0.0001206969318445772,,,674
,,,,,,,0.0005,675
15,274202.8125,2.7778429985046387,0.4795567989349365,274202.40625,0.00011477868974907324,,,719
,,,,,,,0.0005,720
16,272634.96875,2.768322467803955,0.47955718636512756,272634.5,0.00011058825475629419,,,764
,,,,,,,0.0005,765
17,271074.8125,2.7567875385284424,0.4795522391796112,271074.375,0.00010780332377180457,,,809
,,,,,,,0.0005,810
18,269522.125,2.7432610988616943,0.4795423150062561,269521.59375,0.0001062051160261035,,,854
,,,,,,,0.0005,855
19,267976.3125,2.727736711502075,0.479527086019516,267975.84375,0.00010565014235908166,,,899
,,,,,,,0.0005,900
20,266437.21875,2.710179328918457,0.4795064628124237,266436.71875,0.00010605215356918052,,,944
,,,,,,,0.0005,945
21,264904.5,2.6905298233032227,0.47947975993156433,264904.03125,0.00010737233969848603,,,989
,,,,,,,0.0005,990
22,263378.03125,2.6687023639678955,0.4794466197490692,263377.59375,0.00010961519001284614,,,1034
,,,,,,,0.0005,1035
23,261857.625,2.6445791721343994,0.47940582036972046,261857.140625,0.00011282791092526168,,,1079
,,,,,,,0.0005,1080
24,260343.046875,2.618013381958008,0.4793562889099121,260342.578125,0.00011710601393133402,,,1124
,,,,,,,0.0005,1125
25,258834.171875,2.588813304901123,0.4792962372303009,258833.6875,0.00012260343646630645,,,1169
,,,,,,,0.0005,1170
26,257330.921875,2.5567471981048584,0.4792233109474182,257330.453125,0.00012955169950146228,,,1214
,,,,,,,0.0005,1215
27,255833.109375,2.5215165615081787,0.4791342318058014,255832.609375,0.00013829089584760368,,,1259
,,,,,,,0.0005,1260
28,254340.6875,2.4827516078948975,0.47902435064315796,254340.1875,0.00014932184421923012,,,1304
,,,,,,,0.0005,1305
29,252853.53125,2.439974069595337,0.4788868725299835,252853.078125,0.0001633960782783106,,,1349
,,,,,,,0.0005,1350
30,251371.640625,2.3925697803497314,0.4787118136882782,251371.15625,0.00018167572852689773,,,1394
,,,,,,,0.0005,1395
31,249894.796875,2.339721202850342,0.47848308086395264,249894.375,0.00020603554730769247,,,1439
,,,,,,,0.0005,1440
32,248423.109375,2.2803220748901367,0.47817403078079224,248422.59375,0.00023967570450622588,,,1484
,,,,,,,0.0005,1485
33,246956.484375,2.212817907333374,0.47773757576942444,246955.953125,0.0002884813002310693,,,1529
,,,,,,,0.0005,1530
34,245494.75,2.1349287033081055,0.47708073258399963,245494.21875,0.00036442832788452506,,,1574
,,,,,,,0.0005,1575
35,244037.921875,2.043134927749634,0.4759940803050995,244037.40625,0.0004956722841598094,,,1619
,,,,,,,0.0005,1620
36,242585.9375,1.931624174118042,0.4738914370536804,242585.484375,0.0007650041370652616,,,1664
,,,,,,,0.0005,1665
37,241138.828125,1.7902556657791138,0.46832743287086487,241138.375,0.0015378104289993644,,,1709
,,,,,,,0.0005,1710
